"Status
Fusão";"Status 
Tub.";"Status 
Pint.";"Status 
Tec.";"Status 
Mad.";Status Ateliê;Status Mont.;Status Omb.;Status Emb;Status Expedição;concatenar (formula);DATA DO KANBAN;PEDIDO;CLASSIFICAÇÃO;"DATA
CARGA";N°;QTD;ALTERAÇÃO DE PEDIDO;ITEM;COMPOSIÇÃO;OBSERVAÇÕES;OBSERVAÇÃO DO GESTOR;CLIENTE
VAZIO;01/07/2025;VAZIO;03/07/2025;VAZIO;30/06/2025;x;VAZIO;VAZIO;05/07/2025;45839PED1000032BANQUETA SELECTA (2024)ESTR CD/CD 6MM./TECIDO/ALT PADRAO/ET. BAMBOO - AL:CZ MIC/BEGE/T:QK BEGEESTAR NO CLIENTE 10/07/2025.;01/07/2025;PED100003;ENTREGA PROGRAMADA;01/07/2025;2908 SP PROGRAMADO;2.0;;BANQUETA SELECTA (2024);ESTR CD/CD 6MM./TECIDO/ALT PADRAO/ET. BAMBOO - AL:CZ MIC/BEGE/T:QK BEGE;ESTAR NO CLIENTE 10/07/2025.;;BAMBOO COMERCIO DE MOVEIS E DEC. LTDA
30/06/2025;27/06/2025;VAZIO;VAZIO;VAZIO;VAZIO;02/07/2025;VAZIO;02/07/2025;05/07/2025;45839PED1000031BISTRO SAMANTHA (PFL)60X60X1,05 3PES/ET. BAMBOO - AL: CINZA MICROTEXTURA - TP ALU LISO/(CTZDO)ESTAR NO CLIENTE 10/07/2025.;01/07/2025;PED100003;ENTREGA PROGRAMADA;01/07/2025;2908 SP PROGRAMADO;1.0;;BISTRO SAMANTHA (PFL);60X60X1,05 3PES/ET. BAMBOO - AL: CINZA MICROTEXTURA - TP ALU LISO/(CTZDO);ESTAR NO CLIENTE 10/07/2025.;;BAMBOO COMERCIO DE MOVEIS E DEC. LTDA
VAZIO;30/06/2025;30/06/2025;VAZIO;VAZIO;VAZIO;x;VAZIO;01/07/2025;05/07/2025;45839PED1000031MESA VICTUS3,0X1,1 AL RIP/ET. BAMBOO - AL: CINZA MICROTEXTURAESTAR NO CLIENTE 10/07/2025.;01/07/2025;PED100003;ENTREGA PROGRAMADA;01/07/2025;2908 SP PROGRAMADO;1.0;;MESA VICTUS;3,0X1,1 AL RIP/ET. BAMBOO - AL: CINZA MICROTEXTURA;ESTAR NO CLIENTE 10/07/2025.;;BAMBOO COMERCIO DE MOVEIS E DEC. LTDA
VAZIO;26/06/2025;30/06/2025;01/07/2025;VAZIO;VAZIO;x;VAZIO;02/07/2025;05/07/2025;45839PED1000036POLTRONA DUDAESTRUTURA CORDA/TR AB CD 6MM/ET. BAMBOO - AL:CHAMPAGNE MICRO/RAMIESTAR NO CLIENTE 10/07/2025.;01/07/2025;PED100003;ENTREGA PROGRAMADA;01/07/2025;2908 SP PROGRAMADO;6.0;;POLTRONA DUDA;ESTRUTURA CORDA/TR AB CD 6MM/ET. BAMBOO - AL:CHAMPAGNE MICRO/RAMI;ESTAR NO CLIENTE 10/07/2025.;;BAMBOO COMERCIO DE MOVEIS E DEC. LTDA
25/06/2025;18/06/2025;02/07/2025;03/07/2025;VAZIO;30/06/2025;x;VAZIO;04/07/2025;05/07/2025;45839PED1000031POLTRONA IBIZA SALAESTR CD/TR ECLIPSE 6MM/TECIDO/ET. BAMBOO - COR:CZMIC/AZUL MAR/GAL CINZAESTAR NO CLIENTE 10/07/2025.;01/07/2025;PED100003;ENTREGA PROGRAMADA;01/07/2025;2908 SP PROGRAMADO;1.0;;POLTRONA IBIZA SALA;ESTR CD/TR ECLIPSE 6MM/TECIDO/ET. BAMBOO - COR:CZMIC/AZUL MAR/GAL CINZA;ESTAR NO CLIENTE 10/07/2025.;;BAMBOO COMERCIO DE MOVEIS E DEC. LTDA
VAZIO;01/07/2025;02/07/2025;03/07/2025;VAZIO;03/07/2025;x;VAZIO;04/07/2025;05/07/2025;45839PED10000310POLTRONA KYRAESTR CORDA/AB RETA CD 6MM/TECIDO/ET. BAMBOO - AL:BRONZE/BEGE MESCL/T:QK PALHAESTAR NO CLIENTE 10/07/2025.;01/07/2025;PED100003;ENTREGA PROGRAMADA;01/07/2025;2908 SP PROGRAMADO;10.0;;POLTRONA KYRA;ESTR CORDA/AB RETA CD 6MM/TECIDO/ET. BAMBOO - AL:BRONZE/BEGE MESCL/T:QK PALHA;ESTAR NO CLIENTE 10/07/2025.;;BAMBOO COMERCIO DE MOVEIS E DEC. LTDA
VAZIO;02/06/2025;03/06/2025;VAZIO;04/06/2025;VAZIO;30/12/1899;VAZIO;06/06/2025;10/06/2025;45810PED1000101MESA LATERAL NAGUA (2024)Ø0,56X0,46H/ET. BRETON - AL: CHAMP MIC - TAMPO LOS ANGELES CUMARU;02/06/2025;PED100010;PEDIDO DE VENDA;06/06/2025;2919- BRETON II;1.0;;MESA LATERAL NAGUA (2024);Ø0,56X0,46H/ET. BRETON - AL: CHAMP MIC - TAMPO LOS ANGELES CUMARU;;;BIOMA COMERCIO DE MOVEIS LTDA
VAZIO;23/07/2025;02/07/2025;09/07/2025;31/07/2025;30/07/2025;x;VAZIO;31/07/2025;04/08/2025;45839PED1000114BANQUETA RAVENA (2024)FREIJO/TR ECLIPSE 6MM/TECIDO/ASS A CHA 0,67H/ET. ALUMINAS. - AL:BG ESC/VD PEROLADO/T:FI VRD MS/T: OUTLINE - COM  BRAÇO;01/07/2025;PED100011;PEDIDO DE VENDA;24/07/2025;2957 NORDESTE;4.0;;BANQUETA RAVENA (2024);FREIJO/TR ECLIPSE 6MM/TECIDO/ASS A CHA 0,67H/ET. ALUMINAS. - AL:BG ESC/VD PEROLADO/T:FI VRD MS/T: OUTLINE - COM  BRAÇO;;;TSH MOVEIS E DECORACOES LTDA.
14/07/2025;14/07/2025;16/07/2025;VAZIO;VAZIO;30/06/2025;22/07/2025;VAZIO;22/07/2025;04/08/2025;45839PED1000112ESPREGUIÇADEIRA LOS ANGELES (2024)ESTRUTURA//TELA/ET. ALUMINAS - AL:FEND/MIX/MIX;01/07/2025;PED100011;PEDIDO DE VENDA;24/07/2025;2957 NORDESTE;2.0;;ESPREGUIÇADEIRA LOS ANGELES (2024);ESTRUTURA//TELA/ET. ALUMINAS - AL:FEND/MIX/MIX;;;TSH MOVEIS E DECORACOES LTDA.
VAZIO;27/06/2025;30/06/2025;10/07/2025;31/07/2025;30/07/2025;x;VAZIO;31/07/2025;04/08/2025;45839PED10001112POLTRONA RAVENA JANTARFREIJO/TR ECLIPSE 6MM/TCD/ET. ALU - AL:BG ESC/VD PEROLADO/T:FI VRD MS/T: OUTLINE;01/07/2025;PED100011;PEDIDO DE VENDA;24/07/2025;2957 NORDESTE;12.0;;POLTRONA RAVENA JANTAR;FREIJO/TR ECLIPSE 6MM/TCD/ET. ALU - AL:BG ESC/VD PEROLADO/T:FI VRD MS/T: OUTLINE;;;TSH MOVEIS E DECORACOES LTDA.
